TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,4426.97,1904.56,953.88,1365.4,137.55,23.5,42.07999999999993
00:05,4406.09,1895.53,948.03,1360.1,136.76,23.83,41.840000000000146
00:10,4397.52,1890.66,947.63,1357.72,135.65,23.91,41.95000000000073
00:15,4359.02,1879.47,939.87,1339.78,135.63,23.86,40.410000000000764
00:20,4341.01,1866.74,936.91,1338.03,134.14,23.92,41.26999999999953
00:25,4327.62,1859.36,933.92,1334.57,137.56,23.94,38.27000000000044
00:30,4314.84,1848.95,932.36,1333.53,134.85,24.25,40.899999999999636
00:35,4296.43,1840.4,928.56,1328.4,134.78,23.46,40.82999999999993
00:40,4265.07,1829.48,921.84,1315.57,134.12,23.55,40.50999999999931
00:45,4252.88,1824.02,916.79,1313.85,134.47,23.66,40.090000000000146
00:50,4231.21,1812.53,911.58,1307.98,134.78,23.67,40.67000000000007
00:55,4231.38,1810.51,913.39,1309.54,133.97,23.76,40.210000000000036
01:00,4214.9,1802.95,912.65,1300.97,134.63,23.59,40.10999999999967
01:05,4184.24,1786.87,902.6,1282.49,148.92,23.62,39.73999999999978
01:10,4148.75,1777.91,898.08,1276.25,133.4,23.69,39.42000000000007
01:15,4144.61,1775.05,897.07,1275.64,133.94,23.46,39.44999999999982
01:20,4118.71,1759.93,887.39,1259.33,147.53,23.51,41.01999999999953
01:25,4096.03,1754.71,882.63,1262.33,133.5,23.85,39.00999999999976
01:30,4086.42,1743.21,879.64,1253.97,146.96,23.81,38.83000000000038
01:35,4092.06,1742.18,885.25,1257.42,144.58,23.76,38.869999999999436
01:40,4082.83,1738.42,884.54,1257.04,140.36,23.69,38.779999999999745
01:45,4060.97,1730.27,872.77,1248.86,146.9,23.59,38.57999999999993
01:50,4052.77,1727.5,873.38,1255.77,135.0,22.61,38.50999999999976
01:55,4041.48,1715.82,868.59,1247.22,147.78,22.73,39.33999999999969
02:00,4019.99,1720.24,866.98,1245.0,128.35,22.9,36.51999999999953
02:05,3995.57,1702.73,859.89,1226.48,145.67,22.87,37.93000000000029
02:10,3970.04,1690.37,851.93,1222.35,144.73,22.95,37.71000000000049
02:15,3961.95,1692.55,855.2,1221.68,131.5,22.82,38.19999999999936
02:20,3937.02,1673.96,847.12,1210.14,145.64,22.84,37.31999999999971
02:25,3929.23,1670.69,844.32,1211.3,145.06,22.7,35.159999999999854
02:30,3914.59,1668.23,841.88,1212.79,131.98,22.59,37.11999999999989
02:35,3901.7,1657.64,835.4,1202.33,146.75,22.51,37.06999999999971
02:40,3884.51,1653.19,834.62,1206.25,131.06,22.45,36.94000000000051
02:45,3869.76,1641.46,829.67,1196.09,143.35,22.4,36.789999999999964
02:50,3863.21,1638.98,830.48,1191.56,142.92,22.65,36.61999999999989
02:55,3844.75,1634.16,825.22,1183.78,142.79,22.32,36.48000000000002
03:00,3831.05,1631.65,824.22,1186.98,129.48,22.35,36.370000000000346
03:05,3813.38,1623.69,819.95,1180.07,129.81,22.54,37.320000000000164
03:10,3802.09,1619.9,814.23,1179.86,129.22,22.65,36.23000000000047
03:15,3794.19,1609.41,811.28,1173.13,141.56,22.61,36.19999999999982
03:20,3788.85,1608.22,810.34,1169.9,141.98,22.51,35.899999999999636
03:25,3773.21,1605.3,810.44,1167.41,130.31,22.69,37.0600000000004
