TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other,Date,Season,DayOfWeek,IsHoliday
00:00,6002.66,2751.26,1377.85,1619.52,168.62,28.38,57.03,2018-06-17,Summer,Sunday,False
00:05,5962.27,2738.26,1372.88,1602.94,163.19,28.36,56.64,2018-06-17,Summer,Sunday,False
00:10,5951.39,2730.8,1364.18,1602.36,169.29,28.23,56.53,2018-06-17,Summer,Sunday,False
00:15,5913.94,2722.03,1343.5,1600.57,163.45,28.2,56.19,2018-06-17,Summer,Sunday,False
00:20,5909.67,2719.38,1349.79,1592.54,163.67,28.15,56.14,2018-06-17,Summer,Sunday,False
00:25,5915.48,2721.95,1361.02,1585.93,162.24,28.15,56.19,2018-06-17,Summer,Sunday,False
00:30,5892.42,2705.82,1359.24,1581.21,162.11,28.05,55.99,2018-06-17,Summer,Sunday,False
00:35,5890.0,2701.13,1356.46,1585.44,162.94,28.08,55.95,2018-06-17,Summer,Sunday,False
00:40,5889.12,2700.74,1353.77,1588.23,162.46,27.97,55.95,2018-06-17,Summer,Sunday,False
00:45,5860.4,2694.82,1349.2,1571.4,161.31,28.0,55.67,2018-06-17,Summer,Sunday,False
00:50,5838.18,2682.66,1345.31,1566.92,159.85,27.97,55.47,2018-06-17,Summer,Sunday,False
00:55,5810.24,2665.93,1340.55,1562.12,158.51,27.92,55.21,2018-06-17,Summer,Sunday,False
01:00,5798.76,2657.56,1340.9,1558.85,158.39,27.97,55.09,2018-06-17,Summer,Sunday,False
01:05,5766.94,2645.0,1336.26,1544.35,158.62,27.92,54.79,2018-06-17,Summer,Sunday,False
01:10,5748.74,2635.72,1333.64,1540.02,157.03,27.72,54.61,2018-06-17,Summer,Sunday,False
01:15,5731.6,2627.65,1328.09,1535.89,157.8,27.72,54.45,2018-06-17,Summer,Sunday,False
01:20,5716.09,2614.17,1321.55,1541.43,156.88,27.74,54.32,2018-06-17,Summer,Sunday,False
01:25,5708.68,2614.02,1318.52,1538.17,155.97,27.77,54.23,2018-06-17,Summer,Sunday,False
01:30,5680.96,2600.24,1311.3,1531.94,155.95,27.57,53.96,2018-06-17,Summer,Sunday,False
01:35,5663.24,2591.05,1308.08,1526.54,156.13,27.64,53.8,2018-06-17,Summer,Sunday,False
01:40,5657.53,2589.63,1303.09,1526.98,156.5,27.59,53.74,2018-06-17,Summer,Sunday,False
01:45,5648.0,2586.28,1301.17,1523.79,155.44,27.67,53.65,2018-06-17,Summer,Sunday,False
01:50,5618.49,2570.26,1296.45,1513.39,154.3,27.57,56.52,2018-06-17,Summer,Sunday,False
01:55,5584.85,2550.94,1287.92,1510.87,154.45,27.62,53.05,2018-06-17,Summer,Sunday,False
02:00,5591.87,2567.81,1286.8,1501.82,154.7,27.62,53.12,2018-06-17,Summer,Sunday,False
02:05,5560.63,2552.97,1280.93,1492.49,153.83,27.57,52.84,2018-06-17,Summer,Sunday,False
02:10,5557.18,2552.12,1277.62,1490.78,156.32,27.54,52.8,2018-06-17,Summer,Sunday,False
02:15,5534.38,2544.14,1270.86,1485.11,154.12,27.57,52.58,2018-06-17,Summer,Sunday,False
02:20,5516.15,2538.86,1267.37,1476.08,153.94,27.49,52.41,2018-06-17,Summer,Sunday,False
02:25,5504.23,2539.18,1265.02,1467.07,153.19,27.46,52.31,2018-06-17,Summer,Sunday,False
02:30,5484.59,2517.31,1258.92,1475.7,153.04,27.52,52.1,2018-06-17,Summer,Sunday,False
02:35,5441.61,2497.39,1253.14,1459.71,152.3,27.39,51.68,2018-06-17,Summer,Sunday,False
02:40,5434.77,2491.07,1252.05,1459.53,153.0,27.44,51.68,2018-06-17,Summer,Sunday,False
