TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,2857.19,1249.62,656.9,799.4,105.73,18.04,27.5
00:05,2849.26,1246.32,658.66,797.72,102.0,17.96,26.600000000000364
00:10,2846.09,1241.79,654.15,799.13,105.44,18.15,27.429999999999836
00:15,2818.21,1227.26,645.13,791.83,107.78,18.12,28.090000000000146
00:20,2827.26,1237.77,653.12,786.4,104.91,17.99,27.07000000000062
00:25,2799.54,1221.36,643.09,787.83,103.4,18.05,25.809999999999945
00:30,2781.4,1216.75,639.6,777.41,102.44,17.88,27.320000000000164
00:35,2780.91,1211.3,640.57,781.28,102.31,17.9,27.550000000000182
00:40,2770.9,1209.22,637.47,777.49,102.32,17.83,26.56999999999971
00:45,2760.86,1203.91,633.95,776.5,101.82,17.84,26.83999999999969
00:50,2748.21,1196.3,632.15,774.11,101.72,17.91,26.020000000000437
00:55,2732.01,1189.14,629.87,766.79,101.26,17.83,27.11999999999989
01:00,2722.05,1187.62,627.35,761.25,102.13,17.82,25.88000000000011
01:05,2711.83,1181.91,624.8,761.3,100.87,17.78,25.169999999999618
01:10,2701.68,1176.38,624.02,756.8,101.1,17.74,25.640000000000327
01:15,2691.3,1171.76,622.08,754.77,99.88,17.68,25.13000000000011
01:20,2685.02,1168.36,620.69,752.06,100.68,17.67,25.5600000000004
01:25,2668.25,1160.43,617.64,747.35,99.89,17.64,25.300000000000182
01:30,2654.61,1152.84,614.24,745.31,99.44,17.55,25.230000000000018
01:35,2648.42,1152.45,613.86,740.1,99.91,17.6,24.500000000000455
01:40,2640.42,1146.11,611.02,739.98,100.24,17.68,25.390000000000782
01:45,2646.13,1149.04,611.84,740.97,100.31,17.44,26.529999999999745
01:50,2632.23,1141.18,609.79,733.95,99.99,17.53,29.789999999999964
01:55,2615.1,1133.59,606.36,733.95,99.14,17.43,24.630000000000564
02:00,2599.41,1124.43,603.52,730.15,99.05,17.47,24.789999999999964
02:05,2590.22,1121.62,602.78,725.8,98.16,17.28,24.579999999999927
02:10,2587.63,1124.01,598.69,724.73,98.25,17.34,24.609999999999673
02:15,2589.09,1127.63,602.11,719.28,98.29,17.23,24.549999999999727
02:20,2573.76,1116.41,598.13,718.94,98.43,17.26,24.590000000000146
02:25,2555.39,1106.94,593.5,716.0,97.29,17.19,24.4699999999998
02:30,2554.52,1107.46,594.03,713.41,98.26,17.18,24.179999999999836
02:35,2540.08,1099.58,591.85,709.78,97.41,17.17,24.289999999999964
02:40,2541.71,1104.32,592.61,705.38,97.76,17.21,24.429999999999836
02:45,2531.48,1093.77,588.88,707.98,98.42,17.16,25.269999999999982
02:50,2524.07,1092.62,588.06,703.94,98.55,17.04,23.860000000000127
02:55,2505.9,1086.62,585.16,697.28,97.71,17.03,22.100000000000364
03:00,2509.99,1085.28,585.59,702.01,97.97,17.12,22.019999999999982
03:05,2492.36,1083.74,581.75,687.63,98.49,17.12,23.630000000000564
03:10,2483.99,1080.56,580.31,684.2,98.41,17.07,23.440000000000055
03:15,2481.16,1076.45,577.06,688.0,98.26,16.96,24.42999999999938
03:20,2475.19,1074.99,575.41,685.62,98.45,17.06,23.66000000000031
03:25,2477.09,1069.93,576.13,691.52,98.04,17.06,24.41000000000031
03:30,2470.75,1068.64,576.41,687.25,97.9,17.07,23.479999999999563
03:35,2459.03,1064.18,574.59,682.88,97.43,17.08,22.870000000000346
03:40,2467.32,1066.92,577.36,685.13,97.27,17.21,23.429999999999836
03:45,2452.35,1057.6,574.8,682.11,97.39,17.09,23.360000000000127
03:50,2451.39,1059.81,574.32,679.61,97.28,17.04,23.329999999999472
03:55,2442.7,1056.11,571.42,677.81,97.14,16.97,23.250000000000455
04:00,2444.73,1057.33,571.62,678.13,97.27,16.99,23.390000000000327
04:05,2439.42,1055.57,572.03,674.69,96.33,16.95,23.850000000000364
04:10,2427.65,1051.59,569.82,669.74,96.87,16.87,22.760000000000673
04:15,2436.4,1054.05,570.16,674.31,97.74,17.0,23.140000000000327
04:20,2432.39,1054.54,569.79,670.73,97.46,16.99,22.88000000000011
04:25,2442.75,1062.3,568.82,674.52,98.34,16.96,21.809999999999945
04:30,2442.16,1058.59,567.85,678.24,97.84,16.93,22.70999999999958
04:35,2438.42,1062.15,568.44,670.05,97.35,17.0,23.429999999999836
04:40,2450.24,1062.88,574.82,674.16,96.98,17.13,24.269999999999527
04:45,2420.45,1057.6,566.68,663.65,97.12,17.24,18.16000000000031
04:50,2426.94,1053.93,568.72,666.7,96.92,17.36,23.30999999999949
04:55,2436.85,1061.29,569.43,667.76,97.68,17.39,23.300000000000637
05:00,2442.91,1061.36,571.76,671.49,97.36,17.7,23.240000000000236
05:05,2436.13,1059.77,567.32,670.73,97.24,17.77,23.300000000000182
05:10,2448.17,1067.83,574.9,666.02,98.03,18.06,23.329999999999927
05:15,2442.71,1062.61,571.5,669.01,98.01,18.37,23.210000000000036
05:20,2471.45,1074.73,577.65,683.01,96.05,18.41,21.599999999999454
05:25,2459.75,1069.36,573.99,676.83,97.35,18.01,24.210000000000036
05:30,2470.21,1075.23,575.53,680.58,96.92,18.59,23.359999999999673
05:35,2471.8,1083.22,578.03,669.94,96.77,18.24,25.600000000000364
05:40,2459.86,1072.77,575.24,670.37,100.84,18.21,22.429999999999836
05:45,2465.53,1077.66,576.0,674.48,96.11,18.37,22.909999999999854
05:50,2481.51,1087.5,583.04,676.77,96.95,18.62,18.630000000000564
05:55,2460.76,1078.31,575.88,674.71,93.86,19.09,18.909999999999854
06:00,2478.7,1085.14,575.31,680.75,94.5,19.35,23.65000000000009
