TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:00,6224.760,2707.040,1465.430,1778.450,188.480,26.230
00:05,6197.290,2705.800,1454.260,1764.060,188.130,26.160
00:10,6172.550,2697.560,1445.560,1755.000,189.630,26.160
00:15,6160.730,2681.200,1446.130,1758.590,190.160,26.130
00:20,6132.580,2685.410,1430.400,1743.940,188.280,26.280
00:25,6095.060,2648.000,1427.230,1748.960,186.660,26.310
00:30,6095.940,2644.840,1426.170,1759.920,180.870,26.230
00:35,6069.770,2638.650,1416.820,1752.160,178.370,26.110
00:40,6053.690,2630.190,1416.580,1746.590,176.760,26.060
00:45,6048.640,2646.380,1404.870,1737.170,177.760,26.160
00:50,6028.210,2632.480,1405.580,1729.730,176.940,26.210
00:55,6020.610,2622.700,1415.610,1721.660,177.320,26.130
01:00,5973.120,2604.790,1397.690,1714.360,173.550,25.980
01:05,5959.690,2603.580,1390.930,1707.940,174.620,26.000
01:10,5930.450,2583.770,1389.380,1701.570,173.510,25.880
01:15,5918.620,2582.830,1385.230,1696.170,172.300,25.850
01:20,5893.970,2570.270,1381.090,1689.210,171.550,25.850
01:25,5883.960,2562.780,1381.400,1688.600,169.500,25.700
01:30,5869.630,2554.530,1383.650,1681.700,168.300,25.700
01:35,5860.360,2555.170,1377.870,1678.250,167.800,25.600
01:40,5838.450,2540.470,1375.620,1671.070,170.150,25.670
01:45,5836.100,2544.970,1375.770,1664.140,170.160,25.620
01:50,5807.240,2531.320,1368.870,1657.680,168.550,25.650
01:55,5767.720,2524.000,1330.810,1665.240,167.200,25.650
02:00,5747.840,2506.730,1355.120,1638.430,167.320,25.650
02:05,5733.290,2501.970,1349.130,1635.860,166.320,25.550
02:10,5713.950,2495.810,1340.600,1631.460,166.280,25.520
02:15,5703.650,2496.480,1335.320,1625.320,166.710,25.650
02:20,5682.320,2488.770,1330.750,1618.190,164.940,25.700
02:25,5667.890,2481.870,1328.130,1614.030,164.490,25.520
02:30,5618.690,2451.910,1315.240,1608.450,164.130,25.570
02:35,5599.630,2445.050,1310.260,1601.000,164.630,25.490
02:40,5582.770,2435.790,1304.420,1596.700,167.330,25.490
02:45,5564.310,2432.850,1299.080,1587.780,166.310,25.420
02:50,5485.500,2366.960,1294.390,1577.520,169.040,25.470
02:55,5504.900,2408.890,1287.080,1565.100,166.160,25.370
