TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:00,1806.060,715.030,341.950,631.720,93.870,11.490
00:05,1776.370,687.820,337.330,627.050,94.040,11.460
00:10,1762.270,688.450,333.130,625.470,93.600,11.080
00:15,1749.330,689.020,323.830,619.510,91.850,11.130
00:20,1720.590,669.070,324.910,611.000,90.040,10.990
00:25,1707.800,664.990,314.990,608.430,92.720,11.110
00:30,1676.030,656.110,303.940,598.750,89.700,10.880
00:35,1648.410,639.180,291.820,598.080,89.930,10.930
00:40,1638.310,637.550,289.290,593.180,90.080,10.780
00:45,1627.130,634.090,288.870,589.180,89.700,10.930
00:50,1611.110,626.480,287.260,584.840,88.310,10.700
00:55,1608.810,622.740,286.450,586.830,88.460,10.730
01:00,1591.980,615.640,281.410,580.190,89.870,10.620
01:05,1583.840,614.600,278.920,574.690,90.120,10.690
01:10,1576.500,609.990,276.360,574.370,89.470,10.560
01:15,1570.440,607.770,272.030,575.680,89.890,10.570
01:20,1563.830,604.360,270.710,575.200,88.240,10.470
01:25,1550.050,596.830,268.030,571.350,88.710,10.550
01:30,1545.760,593.170,265.480,572.060,89.890,10.440
01:35,1542.950,597.880,267.020,563.360,87.250,10.520
01:40,1531.870,594.880,264.230,559.840,86.930,10.400
01:45,1542.140,589.670,267.250,572.780,87.530,10.440
01:50,1540.170,592.970,267.410,565.430,89.350,10.300
01:55,1517.720,585.620,257.530,561.940,87.810,10.420
02:00,1519.240,583.760,258.020,565.660,87.410,10.310
02:05,1513.190,584.910,260.950,555.310,87.540,10.500
02:10,1503.660,579.750,257.040,556.230,86.660,10.400
02:15,1505.210,580.000,255.080,557.940,86.820,10.420
02:20,1495.960,578.730,256.940,549.760,85.960,10.350
02:25,1499.320,576.900,253.600,556.790,85.970,10.370
02:30,1486.920,572.090,250.720,552.770,86.450,10.380
02:35,1483.610,569.370,249.310,554.300,86.000,10.500
02:40,1483.700,569.250,250.020,554.590,86.100,10.440
02:45,1468.750,565.840,245.070,547.450,86.780,10.400
02:50,1471.490,567.190,247.410,548.030,86.300,10.380
02:55,1458.110,560.820,240.830,544.730,86.510,10.360
03:00,1466.390,566.370,245.820,543.100,86.680,10.480
03:05,1470.940,566.360,245.180,546.330,86.090,10.350
03:10,1458.680,565.510,243.130,542.280,86.040,10.530
03:15,1465.570,566.700,242.030,545.710,86.730,10.470
03:20,1459.000,566.280,240.140,542.150,86.030,10.550
03:25,1465.760,568.400,241.170,545.490,85.780,10.460
03:30,1458.030,565.740,240.520,541.610,85.800,10.530
03:35,1459.570,568.510,240.620,541.180,84.820,10.610
03:40,1461.980,566.150,240.500,545.700,85.190,10.560
03:45,1462.090,571.370,241.730,543.790,86.460,10.700
03:50,1467.520,568.200,240.960,543.660,86.790,10.700
03:55,1479.420,573.420,243.180,552.150,85.800,10.820
04:00,1481.550,577.280,243.190,551.170,84.920,10.930
04:05,1488.450,583.220,244.870,550.590,85.720,11.200
04:10,1498.740,587.550,247.220,554.190,84.900,11.230
04:15,1505.750,593.050,247.650,554.450,85.090,11.130
04:20,1507.970,593.370,248.260,556.990,86.070,11.330
04:25,1510.150,595.530,245.590,554.090,86.930,11.460
04:30,1536.030,604.810,255.110,563.970,86.010,11.500
04:35,1556.000,621.700,258.910,564.510,84.840,11.600
04:40,1563.530,624.540,262.560,564.300,84.570,11.700
04:45,1588.590,629.600,267.630,578.560,86.380,11.930
04:50,1603.410,640.530,269.170,579.900,87.540,12.040
04:55,1609.540,640.470,271.600,580.300,85.900,12.380
05:00,1619.040,649.130,273.040,580.950,86.870,12.520
05:05,1649.570,668.930,280.270,585.410,84.060,12.770
05:10,1668.200,677.510,281.810,591.970,87.350,13.160
05:15,1692.460,689.850,289.220,595.340,87.390,13.150
05:20,1720.520,707.040,295.440,603.150,87.560,13.630
05:25,1754.930,715.530,303.910,617.350,87.320,13.910
05:30,1778.700,732.310,309.430,616.460,89.780,14.420
05:35,1819.800,748.960,319.590,628.260,89.190,14.560
05:40,1828.920,757.290,324.920,623.120,91.640,15.200
05:45,1876.780,782.770,332.860,638.710,88.010,15.420
05:50,1925.620,798.700,346.690,647.940,90.390,15.610
05:55,1938.420,801.680,360.080,648.970,95.070,15.990
06:00,1982.140,834.740,361.380,660.960,93.940,16.380
06:05,2045.120,861.810,376.870,675.060,95.390,17.050
06:10,2098.070,896.300,389.960,680.310,94.150,17.370
06:15,2129.310,897.980,401.220,698.680,92.800,17.920
06:20,2198.810,930.630,419.450,716.500,94.500,18.210
06:25,2238.600,942.010,426.280,741.140,95.330,18.690
06:30,2250.000,955.340,429.850,737.220,91.570,19.010
06:35,2324.100,982.900,445.800,750.940,98.220,19.350
06:40,2371.740,996.870,448.010,783.040,99.340,19.780
06:45,2444.720,1034.530,464.040,785.650,104.940,19.890
06:50,2473.890,1049.230,487.500,792.020,101.980,20.620
06:55,2515.350,1057.910,501.530,810.560,99.700,20.680
07:00,2570.370,1078.630,513.140,832.410,100.900,20.630
07:05,2610.230,1101.740,515.160,848.330,103.360,21.010
07:10,2715.460,1146.640,563.530,861.760,96.830,21.280
07:15,2766.670,1166.020,557.120,889.980,102.110,21.680
07:20,2841.380,1177.940,592.940,916.450,106.930,21.430
07:25,2886.060,1222.510,599.310,905.950,109.070,21.820
07:30,2902.000,1228.750,580.490,933.940,111.140,21.970
07:35,2941.590,1218.570,622.540,945.760,104.970,21.840
07:40,3030.450,1260.440,638.680,970.110,105.840,21.900
07:45,3035.110,1260.470,637.440,982.080,107.090,21.960
07:50,3070.310,1283.460,647.080,982.350,104.770,22.500
07:55,3101.160,1289.030,660.480,990.590,109.380,22.100
08:00,3109.490,1291.940,663.520,998.130,114.140,21.610
08:05,3097.480,1292.330,645.770,995.310,117.200,21.430
08:10,3154.660,1327.160,660.670,1001.060,111.600,21.700
08:15,3186.430,1339.080,665.220,1014.910,112.080,21.560
08:20,3187.120,1355.620,652.580,1010.000,116.110,21.360
08:25,3193.920,1341.450,644.870,1023.830,123.070,21.430
08:30,3278.060,1369.650,684.980,1058.740,113.510,21.440
08:35,3277.020,1391.680,687.420,1040.700,121.260,21.320
08:40,3227.580,1363.380,662.390,1030.950,119.130,21.020
