TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,5033.4,2200.61,1170.42,1407.19,178.74,28.2,48.23999999999978
00:05,5021.3,2181.35,1172.18,1408.49,178.39,28.57,52.32000000000062
00:10,4990.56,2169.21,1171.56,1395.4,178.52,28.35,47.51999999999953
00:15,4974.89,2161.42,1159.38,1400.06,178.63,28.22,47.17999999999938
00:20,4962.54,2166.42,1163.8,1378.35,178.81,28.25,46.909999999999854
00:25,4928.68,2145.59,1155.5,1373.17,179.51,28.5,46.409999999999854
00:30,4896.42,2125.46,1147.29,1372.44,176.9,28.33,46.0
00:35,4887.77,2119.46,1147.44,1372.61,174.17,27.78,46.3100000000004
00:40,4865.77,2109.67,1144.35,1361.79,175.63,28.29,46.04000000000087
00:45,4839.7,2099.05,1137.44,1354.17,176.09,28.31,44.63999999999942
00:50,4817.55,2096.92,1128.99,1342.35,175.21,28.24,45.840000000000146
00:55,4791.81,2078.99,1125.87,1336.76,173.95,28.13,48.11000000000058
01:00,4767.92,2062.23,1121.56,1333.77,174.83,28.16,47.3700000000008
01:05,4741.78,2053.04,1114.92,1325.89,174.29,28.15,45.48999999999978
01:10,4720.61,2043.94,1111.53,1319.37,172.77,28.06,44.93999999999869
01:15,4698.92,2037.1,1104.46,1312.42,172.17,28.12,44.650000000000546
01:20,4681.78,2029.89,1096.81,1311.45,172.93,28.18,42.51999999999953
01:25,4662.21,2015.34,1094.58,1307.54,171.61,28.1,45.039999999999964
01:30,4646.34,2008.7,1089.69,1303.3,172.44,28.0,44.210000000000036
01:35,4624.46,2001.17,1085.79,1294.59,171.12,27.94,43.850000000000364
01:40,4609.97,1993.81,1086.55,1286.88,171.0,27.81,43.92000000000007
01:45,4588.31,1980.53,1078.99,1285.5,171.9,27.79,43.600000000000364
01:50,4561.61,1967.08,1076.7,1276.41,170.32,27.8,43.30000000000018
01:55,4543.5,1951.2,1072.88,1277.86,170.13,27.68,43.75
02:00,4523.74,1946.04,1062.25,1274.56,169.71,27.79,43.38999999999942
02:05,4499.69,1936.96,1062.79,1260.28,169.74,27.64,42.279999999999745
02:10,4479.93,1924.17,1052.99,1263.3,169.13,27.66,42.68000000000029
02:15,4462.44,1921.73,1050.21,1252.54,167.65,27.53,42.780000000000655
02:20,4434.05,1908.88,1045.39,1242.71,167.53,27.59,41.94999999999982
02:25,4420.32,1896.39,1040.44,1246.83,167.23,27.45,41.98000000000047
02:30,4404.86,1892.56,1035.83,1242.27,166.66,27.32,40.220000000000255
02:35,4377.53,1884.98,1025.45,1234.09,164.44,27.3,41.26999999999953
02:40,4360.34,1876.98,1022.34,1227.01,164.94,27.27,41.80000000000018
02:45,4342.8,1872.62,1021.03,1215.6,164.47,27.32,41.76000000000022
02:50,4326.08,1861.33,1017.05,1215.11,164.46,27.13,41.0
02:55,4297.35,1848.15,1010.03,1206.09,165.12,27.17,40.789999999999964
03:00,4278.48,1842.33,1003.85,1200.93,164.44,27.01,39.92000000000007
03:05,4267.28,1833.29,999.95,1201.5,163.74,26.93,41.86999999999989
03:10,4247.49,1827.83,992.21,1195.13,164.22,27.04,41.05999999999949
03:15,4224.05,1818.63,987.62,1187.3,163.46,26.82,40.220000000000255
03:20,4217.57,1815.72,983.81,1187.29,163.65,26.81,40.289999999999964
03:25,4192.32,1810.41,977.62,1179.48,159.95,26.91,37.94999999999982
03:30,4177.86,1802.53,975.67,1173.74,159.5,26.66,39.76000000000022
03:35,4153.5,1790.11,968.26,1169.8,159.21,26.63,39.48999999999978
03:40,4133.71,1779.74,963.65,1166.43,158.65,26.65,38.590000000000146
03:45,4114.88,1771.74,959.76,1159.68,157.92,26.59,39.1899999999996
03:50,4083.97,1762.81,950.2,1148.65,156.84,26.56,38.9099999999994
03:55,4072.83,1759.33,947.76,1143.71,156.91,26.49,38.63000000000011
04:00,4054.0,1749.85,943.9,1137.73,157.74,26.53,38.249999999999545
04:05,4042.73,1745.08,943.07,1134.87,154.95,26.46,38.30000000000018
04:10,4010.75,1735.52,926.61,1128.69,153.76,26.37,39.80000000000018
04:15,3990.32,1726.33,923.21,1122.33,154.5,26.28,37.67000000000007
04:20,3992.03,1727.1,921.92,1124.05,155.08,26.35,37.530000000000655
04:25,3973.53,1716.82,918.02,1120.68,154.18,26.34,37.48999999999978
04:30,3943.54,1706.53,905.35,1117.53,149.93,26.36,37.840000000000146
04:35,3931.95,1704.14,903.12,1107.4,151.66,26.23,39.399999999999636
04:40,3909.82,1697.39,897.66,1097.6,151.14,26.19,39.840000000000146
04:45,3893.56,1680.39,895.64,1102.56,151.7,26.38,36.88999999999987
04:50,3886.38,1675.31,895.28,1104.98,149.27,26.4,35.13999999999987
04:55,3869.02,1671.58,889.07,1094.59,150.26,26.55,36.9699999999998
05:00,3854.4,1672.37,885.56,1083.42,149.89,26.54,36.620000000000346
05:05,3831.07,1650.41,878.48,1089.43,149.88,26.45,36.41999999999962
05:10,3800.24,1649.27,874.55,1063.28,150.07,26.35,36.720000000000255
05:15,3783.27,1639.32,867.8,1064.81,148.8,26.24,36.30000000000018
05:20,3763.65,1623.92,863.41,1064.87,149.88,26.03,35.539999999999964
05:25,3740.0,1616.7,857.04,1055.28,148.94,25.91,36.130000000000564
05:30,3720.81,1614.87,855.52,1042.08,146.49,25.86,35.98999999999978
05:35,3710.91,1600.44,858.17,1044.49,145.06,25.93,36.81999999999971
05:40,3693.73,1597.77,856.83,1032.56,144.26,25.78,36.529999999999745
05:45,3668.15,1581.49,850.84,1029.1,146.37,25.69,34.66000000000031
05:50,3633.39,1564.96,844.3,1018.78,145.46,25.6,34.289999999999964
05:55,3624.39,1557.37,846.13,1016.77,143.3,25.59,35.22999999999956
06:00,3615.15,1547.96,846.34,1017.09,143.98,26.05,33.72999999999956
06:05,3605.78,1545.65,849.29,1005.07,144.97,26.13,34.67000000000007
06:10,3577.84,1530.58,842.45,996.96,147.69,26.12,34.04000000000042
06:15,3560.52,1510.8,846.47,997.52,146.65,26.11,32.9699999999998
06:20,3591.15,1534.56,840.92,1008.47,146.62,26.13,34.45000000000027
06:25,3561.33,1503.95,849.18,1000.05,147.08,26.17,34.899999999999636
06:30,3572.24,1514.64,850.55,998.3,147.26,26.12,35.36999999999989
06:35,3571.67,1510.77,851.25,1005.57,147.7,26.32,30.059999999999945
06:40,3559.23,1504.19,853.58,996.66,147.63,26.3,30.86999999999989
06:45,3563.15,1489.34,865.0,1011.13,147.02,26.26,24.399999999999636
06:50,3576.31,1518.89,839.71,1009.04,148.24,26.3,34.129999999999654
06:55,3586.71,1509.55,862.51,1003.82,148.91,26.6,35.320000000000164
07:00,3567.57,1500.23,848.38,1009.76,149.0,26.79,33.41000000000031
07:05,3552.68,1484.95,844.31,1013.02,148.36,27.13,34.9099999999994
07:10,3569.67,1505.61,853.4,998.5,150.52,27.24,34.400000000000546
07:15,3574.33,1503.73,845.16,1011.2,150.97,27.5,35.76999999999998
07:20,3587.93,1504.33,851.23,1019.02,151.61,27.58,34.159999999999854
07:25,3570.81,1508.2,815.11,1033.74,155.47,27.63,30.659999999999854
07:30,3573.48,1504.78,831.62,1017.47,157.22,27.94,34.45000000000027
07:35,3564.83,1511.59,831.93,1001.55,157.83,28.17,33.76000000000022
07:40,3585.15,1506.02,837.21,1022.03,158.65,28.45,32.789999999999964
07:45,3572.99,1470.01,858.74,1011.8,161.53,28.25,42.6599999999994
07:50,3557.22,1508.89,834.91,987.43,162.07,28.99,34.929999999999836
07:55,3584.52,1506.18,846.44,1005.88,165.23,29.49,31.300000000000182
08:00,3623.02,1514.71,851.21,1019.45,170.35,30.12,37.18000000000029
08:05,3607.47,1530.92,815.08,1022.1,174.48,30.41,34.48000000000002
08:10,3617.13,1524.61,834.26,1019.04,175.28,28.94,35.0
08:15,3639.31,1512.29,852.76,1033.35,179.06,30.35,31.5
08:20,3634.99,1506.61,841.34,1032.7,180.25,30.88,43.210000000000036
08:25,3639.91,1527.5,836.21,1048.76,162.41,30.51,34.51999999999953
08:30,3700.27,1550.44,830.07,1080.82,168.92,30.77,39.25
08:35,3687.57,1573.86,831.52,1044.27,171.47,31.45,35.000000000000455
08:40,3745.46,1579.9,824.58,1089.99,178.23,31.62,41.13999999999987
08:45,3698.16,1562.98,831.29,1062.21,180.5,31.64,29.539999999999964
08:50,3735.0,1589.15,828.09,1060.12,185.23,32.07,40.33999999999969
08:55,3762.41,1586.34,841.43,1079.88,187.61,32.6,34.54999999999973
09:00,3790.83,1596.46,838.61,1090.67,191.85,33.84,39.399999999999636
09:05,3843.98,1616.8,839.48,1119.24,193.7,34.42,40.3400000000006
09:10,3857.01,1625.76,838.83,1125.74,195.56,34.37,36.750000000000455
09:15,3929.29,1636.29,866.53,1155.29,199.34,34.74,37.100000000000364
09:20,4003.34,1685.8,882.89,1160.39,201.59,34.98,37.690000000000055
09:25,4014.75,1684.92,854.09,1192.67,209.02,35.56,38.48999999999978
09:30,4093.77,1696.23,889.0,1227.0,210.08,35.95,35.51000000000022
09:35,4126.31,1747.16,874.6,1212.45,216.2,36.5,39.400000000000546
09:40,4199.85,1747.38,902.92,1260.97,220.03,36.68,31.86999999999989
09:45,4191.67,1781.79,894.58,1218.81,221.33,36.75,38.409999999999854
09:50,4237.09,1758.71,912.46,1265.2,223.79,36.79,40.14000000000033
09:55,4301.39,1787.85,932.27,1265.53,225.39,37.03,53.32000000000062
10:00,4356.64,1824.51,921.95,1315.29,229.39,37.32,28.18000000000029
10:05,4403.76,1832.2,944.48,1328.93,232.26,37.7,28.1899999999996
10:10,4406.32,1821.74,939.32,1331.13,234.61,37.57,41.94999999999982
10:15,4437.55,1827.22,949.24,1345.88,236.55,37.36,41.30000000000018
10:20,4483.48,1849.2,963.29,1353.91,240.64,37.27,39.16999999999916
10:25,4506.3,1869.63,950.71,1368.09,242.51,37.47,37.88999999999942
10:30,4502.92,1883.17,949.69,1341.1,247.74,37.87,43.350000000000364
10:35,4568.66,1877.05,973.7,1388.31,248.88,37.72,43.0
10:40,4628.49,1912.12,998.59,1385.31,251.37,37.41,43.6899999999996
10:45,4636.4,1920.76,991.34,1395.5,251.63,37.33,39.839999999999236
10:50,4643.73,1912.69,999.74,1399.59,252.83,37.56,41.3199999999988
10:55,4657.37,1922.93,985.3,1413.7,252.59,37.87,44.97999999999956
11:00,4681.01,1915.87,992.92,1440.58,254.27,38.51,38.85999999999967
11:05,4698.86,1939.4,985.96,1439.73,254.41,38.47,40.88999999999942
11:10,4717.89,1946.88,1005.38,1425.89,255.94,38.28,45.52000000000044
11:15,4756.47,1961.99,1020.32,1435.48,256.97,38.51,43.19999999999982
11:20,4714.3,1930.85,1007.24,1435.35,257.01,38.36,45.48999999999978
11:25,4753.8,1965.92,1008.93,1437.03,258.06,38.56,45.29999999999927
11:30,4757.75,1984.27,1011.94,1429.87,247.93,38.8,44.9399999999996
11:35,4767.31,1950.22,1034.91,1448.97,250.46,38.69,44.0600000000004
11:40,4756.44,1953.06,1026.77,1435.64,256.92,38.75,45.29999999999927
11:45,4827.13,1987.33,1044.63,1452.9,257.89,38.92,45.45999999999913
11:50,4808.8,1957.84,1052.74,1454.74,257.61,38.79,47.08000000000084
11:55,4852.81,1992.29,1038.54,1474.75,262.63,38.73,45.8700000000008
12:00,4904.24,2030.93,1048.19,1475.26,264.22,39.08,46.55999999999949
12:05,4887.88,2016.07,1052.8,1464.35,269.37,38.9,46.39000000000124
12:10,4917.01,2009.96,1075.64,1476.46,269.47,38.88,46.599999999999454
12:15,4892.25,2017.48,1059.45,1454.74,267.71,39.05,53.81999999999971
12:20,4920.33,2020.16,1063.5,1478.44,269.47,38.91,49.849999999999454
12:25,4931.64,2020.49,1083.79,1471.64,270.36,39.2,46.160000000000764
12:30,4951.24,2027.98,1077.62,1488.23,269.99,39.48,47.94000000000051
12:35,4970.71,2036.79,1088.9,1488.85,268.75,39.44,47.98000000000047
12:40,4934.9,2022.39,1068.51,1485.25,270.12,39.34,49.289999999999964
12:45,4968.75,2061.98,1054.82,1487.32,272.69,39.67,52.27000000000044
12:50,5006.64,2046.05,1094.4,1508.34,271.87,39.66,46.32000000000062
12:55,4959.83,2043.29,1066.91,1487.59,272.58,39.7,49.76000000000022
13:00,4918.7,2030.98,1079.25,1449.12,272.42,39.6,47.32999999999902
13:05,4914.11,2052.71,1093.86,1414.65,273.17,39.75,39.970000000000255
13:10,4914.34,2060.44,1077.66,1408.16,271.95,39.48,56.650000000000546
13:15,4892.38,2056.46,1067.75,1412.29,269.87,39.19,46.82000000000062
13:20,4943.21,2089.43,1089.19,1412.76,269.79,38.85,43.1899999999996
13:25,4929.1,2065.86,1089.67,1415.53,270.32,39.1,48.61999999999989
13:30,4949.94,2067.27,1091.42,1436.03,269.31,39.09,46.8199999999988
13:35,4960.45,2090.76,1081.12,1440.33,267.49,38.94,41.8100000000004
13:40,5017.94,2095.35,1104.77,1463.65,267.38,38.94,47.849999999999454
13:45,5002.78,2070.11,1099.43,1478.76,267.83,38.98,47.67000000000007
13:50,5079.08,2109.56,1123.54,1485.56,267.83,39.03,53.5600000000004
13:55,5093.76,2115.52,1116.16,1507.79,267.5,38.94,47.850000000000364
14:00,5122.0,2134.79,1111.66,1523.57,267.05,38.94,45.99000000000069
