TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,4890.35,2157.91,1091.08,1408.36,157.05,28.56,47.39000000000033
00:05,4863.26,2141.65,1095.97,1397.11,157.11,28.35,43.07000000000062
00:10,4825.55,2140.18,1079.2,1372.26,155.22,28.19,50.5
00:15,4812.93,2123.92,1073.41,1384.31,157.74,28.13,45.42000000000098
00:20,4815.83,2133.14,1082.25,1374.97,156.34,27.99,41.14000000000033
00:25,4785.06,2115.61,1070.77,1371.79,153.65,27.98,45.26000000000113
00:30,4759.3,2105.64,1067.21,1358.96,154.68,28.01,44.80000000000018
00:35,4743.0,2097.41,1066.04,1352.91,153.41,28.0,45.23000000000047
00:40,4723.79,2094.12,1057.58,1346.55,152.68,27.98,44.88000000000011
00:45,4705.11,2084.91,1052.32,1344.26,151.48,27.87,44.27000000000044
00:50,4686.41,2076.26,1046.31,1340.6,151.64,27.92,43.67999999999938
00:55,4655.65,2059.3,1042.49,1332.64,151.47,27.86,41.88999999999942
01:00,4649.93,2057.59,1039.31,1329.64,149.22,27.83,46.340000000000146
01:05,4614.34,2038.85,1034.23,1320.16,149.83,27.66,43.61000000000058
01:10,4582.4,2015.59,1030.71,1315.47,149.56,27.6,43.469999999998436
01:15,4543.57,2005.55,1021.54,1297.23,148.84,27.26,43.149999999999636
01:20,4541.92,2007.27,1014.21,1300.41,149.6,27.26,43.16999999999916
01:25,4528.5,2005.19,1011.82,1293.23,147.55,27.22,43.48999999999978
01:30,4526.61,2000.23,1011.79,1296.02,147.05,27.44,44.07999999999993
01:35,4497.14,1983.54,1010.06,1285.61,148.1,27.4,42.43000000000029
01:40,4471.67,1974.54,1005.36,1274.42,147.12,27.26,42.970000000000255
01:45,4458.66,1963.28,999.62,1276.33,148.57,27.28,43.58000000000084
01:50,4446.21,1960.06,994.3,1273.37,150.51,27.21,40.76000000000022
01:55,4415.4,1951.17,987.58,1262.47,145.29,27.12,41.76999999999953
02:00,4406.0,1948.74,983.5,1259.97,145.57,26.77,41.44999999999982
02:05,4372.51,1934.24,979.1,1245.85,145.38,27.01,40.92999999999938
02:10,4348.47,1919.69,972.14,1243.79,145.19,26.86,40.80000000000109
02:15,4339.59,1917.18,969.0,1239.03,146.44,26.83,41.11000000000058
02:20,4323.18,1907.41,969.15,1237.54,142.78,26.63,39.67000000000007
02:25,4302.63,1899.11,964.14,1230.09,142.53,26.6,40.159999999999854
02:30,4286.81,1888.69,958.13,1229.42,143.32,26.48,40.77000000000044
02:35,4251.99,1872.39,951.44,1217.17,143.34,26.6,41.04999999999927
02:40,4232.31,1861.89,948.11,1211.83,143.7,26.44,40.340000000001055
02:45,4219.27,1855.86,948.85,1204.75,143.62,26.41,39.780000000000655
02:50,4202.65,1851.05,941.57,1199.12,144.46,26.51,39.9399999999996
02:55,4188.02,1847.44,935.86,1196.06,142.53,26.37,39.76000000000022
03:00,4167.13,1837.28,932.67,1188.28,143.26,26.29,39.350000000000364
03:05,4144.25,1828.59,926.71,1174.55,142.2,26.31,45.88999999999942
03:10,4123.51,1824.59,922.16,1172.04,142.45,26.32,35.95000000000027
03:15,4119.33,1823.21,919.0,1170.34,141.79,26.0,38.98999999999978
03:20,4088.9,1805.93,909.68,1163.65,144.05,26.09,39.499999999999545
03:25,4077.1,1808.37,905.38,1156.21,143.86,26.15,37.129999999999654
03:30,4058.25,1797.31,902.11,1152.56,141.13,26.03,39.10999999999967
03:35,4037.09,1770.19,904.4,1156.02,141.56,26.03,38.88999999999987
03:40,4019.72,1768.65,899.26,1147.77,141.2,26.12,36.720000000000255
03:45,4001.45,1763.64,894.56,1137.03,141.97,26.08,38.17000000000053
03:50,3985.25,1754.01,889.83,1136.19,141.64,25.95,37.63000000000011
03:55,3982.13,1749.14,889.93,1138.37,141.16,26.04,37.49000000000024
04:00,3965.0,1746.38,884.14,1129.27,141.62,25.99,37.600000000000364
04:05,3954.19,1745.69,881.8,1123.92,139.33,25.89,37.5600000000004
04:10,3919.2,1733.83,874.38,1113.24,134.75,25.8,37.19999999999982
04:15,3900.95,1724.66,868.33,1108.09,137.0,25.78,37.08999999999969
04:20,3895.53,1717.63,866.45,1109.86,138.93,25.78,36.880000000000564
