TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES
00:00,1842.140,748.700,373.490,620.340,68.280,13.830
00:05,1817.910,738.570,365.510,613.840,68.850,13.850
00:10,1796.400,728.900,362.280,606.740,67.630,13.780
00:15,1785.010,719.950,361.990,606.910,65.450,13.750
00:20,1743.080,709.590,349.320,590.890,63.050,13.650
00:25,1769.350,715.130,356.020,605.560,62.250,13.550
00:30,1738.160,701.660,350.290,595.840,60.350,13.500
00:35,1709.810,686.160,341.110,593.590,59.310,13.390
00:40,1695.700,686.090,334.570,584.780,60.850,13.290
00:45,1673.870,676.780,331.410,578.740,57.750,13.290
00:50,1660.270,665.390,327.980,579.800,58.140,13.190
00:55,1633.250,659.780,323.670,564.760,56.300,13.220
01:00,1625.420,656.400,322.400,560.450,57.500,13.240
01:05,1610.300,652.210,317.720,555.010,56.920,13.140
01:10,1601.260,649.710,315.330,552.170,55.770,13.060
01:15,1596.170,646.550,312.960,552.940,55.420,13.140
01:20,1582.580,642.050,310.450,548.680,53.390,12.960
01:25,1578.290,643.320,309.160,546.030,51.810,12.990
01:30,1554.350,629.430,304.110,540.020,53.090,12.940
01:35,1562.550,631.000,304.450,546.310,52.930,13.010
01:40,1554.670,633.340,297.900,544.500,51.250,12.910
01:45,1456.620,618.740,270.790,533.420,6.850,12.990
01:50,1556.430,631.710,298.590,553.100,45.310,12.940
01:55,1560.920,630.080,302.590,554.110,46.380,12.940
02:00,1521.220,618.070,291.460,534.780,49.550,12.910
02:05,1556.350,626.950,300.940,551.090,49.580,12.910
02:10,1517.830,618.340,288.560,533.730,49.890,12.890
02:15,1528.170,619.480,290.820,538.230,52.210,12.910
02:20,1569.620,627.790,304.860,558.430,50.780,12.830
02:25,1507.580,610.480,286.510,531.470,51.970,12.830
02:30,1507.500,611.870,286.670,529.240,52.620,12.780
02:35,1485.210,605.750,280.160,520.230,52.200,12.760
02:40,1473.180,602.660,276.390,518.650,48.760,12.730
02:45,1500.070,608.970,282.930,529.600,51.470,12.830
02:50,1490.860,604.450,282.930,525.060,51.410,12.830
02:55,1479.800,604.720,279.120,518.810,50.290,12.810
03:00,1480.060,604.140,275.900,522.050,51.080,12.830
03:05,1473.250,607.000,275.150,513.280,50.990,12.830
03:10,1468.020,607.280,275.290,507.740,50.900,12.860
03:15,1483.590,611.230,277.540,517.160,50.680,12.890
03:20,1480.480,611.500,276.850,514.690,50.460,12.910
03:25,1474.560,609.540,276.200,511.020,50.900,12.890
03:30,1435.830,600.510,267.070,490.770,50.850,13.010
03:35,1481.780,612.360,276.560,514.140,51.560,13.090
03:40,1485.630,613.320,278.240,514.740,52.100,13.110
03:45,1491.100,613.630,278.230,520.220,51.790,13.060
03:50,1496.080,617.980,279.710,520.040,50.890,13.240
03:55,1486.380,619.510,274.140,514.410,50.860,13.340
04:00,1510.310,622.980,282.590,527.350,49.550,13.500
04:05,1509.770,625.940,277.260,524.350,54.050,13.830
04:10,1537.130,636.530,281.990,534.740,55.230,14.030
04:15,1528.480,638.240,280.710,528.040,52.790,14.180
04:20,1543.430,647.610,281.120,533.310,52.470,14.260
04:25,1548.620,649.000,282.790,534.880,52.670,14.570
04:30,1563.320,657.710,287.490,535.380,53.140,14.740
04:35,1598.000,676.190,291.790,545.650,53.960,15.230
04:40,1600.170,676.010,294.970,545.400,53.240,15.360
04:45,1629.490,688.940,301.180,553.680,54.640,15.560
04:50,1634.950,695.710,300.700,552.190,55.060,15.760
04:55,1650.670,703.310,302.910,558.220,54.420,16.120
05:00,1693.770,722.920,313.990,566.750,57.290,16.730
05:05,1717.040,741.180,315.260,570.020,56.370,17.900
05:10,1792.000,767.580,335.270,596.160,57.200,18.770
05:15,1834.040,789.700,343.610,604.020,59.830,19.460
05:20,1871.700,813.100,348.730,609.260,62.840,20.040
05:25,1900.080,827.410,351.430,620.360,62.050,20.780
05:30,1942.710,842.480,362.640,633.720,63.970,21.440
05:35,2014.340,881.100,374.250,651.110,66.570,22.180
05:40,2061.310,900.270,387.540,662.220,68.620,23.070
05:45,2135.700,931.910,410.720,678.250,70.720,23.810
05:50,2208.210,969.360,422.890,697.660,72.900,24.420
05:55,2239.880,985.710,426.860,708.940,72.030,25.060
06:00,2281.010,1009.010,437.280,712.100,75.150,25.800
06:05,2372.620,1055.560,445.640,741.330,81.010,26.540
06:10,2357.290,1066.770,442.980,713.230,84.620,27.300
06:15,2587.730,1154.010,500.220,796.230,84.830,27.860
06:20,2651.000,1180.320,520.890,805.210,89.280,29.080
06:25,2771.350,1226.690,554.910,845.650,88.130,29.640
06:30,3027.230,1317.120,616.500,943.820,90.720,30.330
06:35,2915.680,1294.990,581.870,885.600,95.190,30.330
06:40,2978.030,1326.580,593.030,907.040,92.290,30.790
06:45,3060.040,1347.230,632.140,928.750,91.990,30.860
06:50,3173.730,1380.290,656.230,974.880,100.890,31.300
06:55,3139.200,1394.540,635.190,945.550,102.130,31.960
07:00,3245.900,1417.950,677.850,979.060,108.170,32.040
07:05,3268.780,1452.050,661.740,982.980,108.670,32.290
07:10,3327.440,1471.390,695.340,987.350,109.330,32.420
07:15,3439.540,1505.670,715.090,1046.540,106.990,32.570
07:20,3428.660,1511.570,709.890,1026.000,116.150,32.670
07:25,3513.750,1524.870,734.970,1070.120,117.590,32.830
07:30,3532.000,1543.020,735.120,1071.580,116.190,32.540
07:35,3516.060,1521.910,728.290,1077.470,122.360,32.620
07:40,3527.580,1509.190,754.520,1075.470,122.600,32.290
07:45,3549.990,1535.550,745.450,1082.070,121.260,31.930
07:50,3584.280,1544.430,750.960,1098.400,124.570,31.860
07:55,3621.630,1564.390,757.800,1108.870,124.550,31.630
08:00,3646.420,1587.250,763.840,1102.880,126.410,31.400
08:05,3536.470,1543.380,736.480,1063.050,128.910,31.070
08:10,3685.790,1597.110,769.250,1123.090,130.400,30.920
08:15,3657.560,1568.350,764.240,1123.950,135.630,30.640
08:20,3673.120,1578.920,777.260,1109.700,141.940,30.410
08:25,3672.900,1592.440,763.000,1116.220,136.070,30.280
