TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,1904.95,756.96,366.31,656.88,93.61,12.76,18.430000000000064
00:05,1871.55,743.65,355.5,644.95,94.45,12.86,20.139999999999873
00:10,1854.48,730.41,365.61,636.22,91.87,12.68,17.689999999999827
00:15,1852.36,732.21,360.2,637.41,92.36,12.66,17.519999999999754
00:20,1842.52,735.59,356.75,630.95,89.96,12.62,16.649999999999864
00:25,1816.5,703.63,357.23,636.13,90.02,12.47,17.019999999999754
00:30,1798.26,699.83,349.75,626.34,91.42,12.48,18.439999999999827
00:35,1805.39,687.55,357.91,639.18,89.46,12.41,18.88000000000011
00:40,1781.04,686.34,351.01,624.05,89.87,12.29,17.480000000000018
00:45,1769.68,681.44,346.75,624.37,87.99,12.22,16.910000000000082
00:50,1759.17,675.92,345.54,619.16,89.49,12.24,16.820000000000164
00:55,1749.85,671.91,341.71,621.64,85.73,12.25,16.610000000000127
01:00,1731.68,661.51,340.15,614.44,86.47,12.22,16.8900000000001
01:05,1721.34,660.63,337.0,606.57,87.87,12.16,17.109999999999673
01:10,1712.92,656.62,335.65,604.13,88.05,12.2,16.269999999999982
01:15,1696.91,650.52,333.8,598.6,85.59,12.19,16.210000000000036
01:20,1696.73,652.48,329.46,600.21,86.28,12.19,16.1099999999999
01:25,1687.84,650.26,328.11,597.1,84.15,12.19,16.029999999999745
01:30,1683.46,645.74,326.94,597.43,85.28,12.12,15.950000000000045
01:35,1675.74,643.94,323.67,593.08,86.82,12.12,16.110000000000127
01:40,1669.61,639.69,324.15,597.8,85.17,12.03,10.769999999999982
01:45,1661.98,640.56,320.58,589.1,83.73,12.05,15.960000000000264
01:50,1670.87,642.46,323.56,594.06,82.92,12.0,15.86999999999989
01:55,1667.82,640.55,322.44,590.29,86.18,11.95,16.409999999999854
02:00,1654.7,638.98,318.67,584.66,84.23,12.11,16.050000000000182
02:05,1653.31,637.27,319.23,586.86,82.26,12.09,15.599999999999909
02:10,1636.67,632.54,314.35,578.86,83.49,11.97,15.460000000000036
02:15,1654.12,637.68,319.35,589.54,81.78,12.09,13.680000000000064
02:20,1639.72,635.89,314.41,578.44,83.33,12.06,15.590000000000146
02:25,1632.78,635.06,312.35,573.87,83.97,12.04,15.490000000000009
02:30,1631.13,634.76,316.1,569.81,82.91,12.02,15.529999999999973
02:35,1622.86,630.15,308.59,571.13,85.55,12.07,15.370000000000118
02:40,1622.41,628.54,311.03,571.69,83.73,12.01,15.410000000000082
02:45,1614.59,626.21,308.76,569.09,83.13,12.01,15.389999999999873
02:50,1614.06,627.87,307.95,566.7,83.93,11.91,15.699999999999818
02:55,1613.86,629.5,308.24,567.12,81.57,12.1,15.329999999999927
03:00,1614.36,628.9,308.31,566.99,82.7,12.12,15.339999999999918
03:05,1608.28,629.9,307.56,562.84,80.54,12.15,15.289999999999736
03:10,1598.68,626.71,305.95,556.96,81.78,12.11,15.170000000000073
03:15,1608.39,629.01,305.94,563.63,83.06,11.95,14.800000000000182
03:20,1588.96,627.29,299.85,552.39,82.2,12.13,15.099999999999909
03:25,1599.98,625.06,303.76,560.6,81.36,12.08,17.12000000000012
03:30,1602.02,626.23,306.32,560.14,82.17,12.15,15.009999999999764
03:35,1601.69,629.58,303.74,559.83,80.84,12.29,15.410000000000082
03:40,1594.69,628.4,299.24,559.01,80.76,12.14,15.139999999999873
03:45,1610.5,630.53,305.39,563.08,83.89,12.33,15.279999999999973
03:50,1613.79,634.71,304.99,565.02,81.4,12.35,15.319999999999936
03:55,1609.44,635.76,304.36,559.1,82.56,12.42,15.240000000000009
04:00,1620.85,642.47,306.82,564.05,80.57,12.45,14.490000000000009
04:05,1630.9,646.54,307.75,566.22,82.27,12.67,15.450000000000045
04:10,1636.74,650.83,307.56,569.82,81.38,12.82,14.329999999999927
04:15,1647.59,657.83,310.02,569.74,81.34,13.01,15.649999999999864
04:20,1653.91,660.59,311.27,573.7,81.25,13.26,13.840000000000146
04:25,1669.45,662.8,314.9,579.84,82.72,13.33,15.860000000000127
04:30,1679.43,670.04,314.81,583.35,81.85,13.48,15.900000000000318
04:35,1693.75,677.58,319.57,584.99,83.18,13.74,14.689999999999827
04:40,1687.57,673.33,319.46,582.74,82.93,14.0,15.1099999999999
04:45,1703.6,683.41,319.53,585.84,84.51,14.1,16.210000000000036
04:50,1724.67,695.04,323.59,593.43,81.76,14.53,16.320000000000164
04:55,1742.61,703.25,327.29,598.49,81.99,14.97,16.61999999999989
05:00,1763.05,718.57,332.42,597.66,81.88,15.43,17.08999999999969
05:05,1797.58,734.77,335.48,611.88,82.13,16.34,16.97999999999979
