TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,1860.43,801.93,373.56,577.37,71.43,18.47,17.669999999999845
00:05,1860.94,802.56,373.54,576.19,72.6,18.38,17.670000000000073
00:10,1826.01,778.7,368.7,574.93,68.22,18.12,17.340000000000146
00:15,1824.34,784.85,368.66,566.02,69.23,18.26,17.319999999999936
00:20,1804.29,769.05,361.51,568.31,70.29,18.0,17.13000000000011
00:25,1784.59,756.01,359.99,562.05,71.71,17.88,16.949999999999818
00:30,1775.65,757.7,354.47,557.75,71.05,17.81,16.87000000000012
00:35,1742.54,740.09,349.78,549.1,69.41,17.62,16.54000000000019
00:40,1738.83,738.24,345.98,552.57,67.95,17.57,16.519999999999982
00:45,1723.18,729.6,343.69,547.48,68.29,17.72,16.40000000000009
00:50,1700.3,719.67,336.06,543.13,67.61,17.68,16.149999999999864
00:55,1687.26,714.38,336.77,536.9,65.49,17.69,16.029999999999745
01:00,1673.43,706.44,330.57,534.29,68.46,17.77,15.900000000000091
01:05,1664.97,711.8,326.38,528.12,65.21,17.65,15.810000000000173
01:10,1643.2,698.14,320.89,525.34,65.63,17.58,15.620000000000118
01:15,1645.98,697.31,321.54,529.24,64.81,17.44,15.6400000000001
01:20,1622.81,684.51,318.7,522.18,64.7,17.3,15.420000000000073
01:25,1606.0,674.23,314.29,519.67,65.16,17.4,15.249999999999773
01:30,1583.75,665.13,309.23,512.49,64.42,17.44,15.039999999999964
01:35,1578.34,655.71,314.61,515.7,60.15,17.2,14.9699999999998
01:40,1562.62,653.56,308.1,509.01,59.92,17.19,14.83999999999969
01:45,1559.81,646.82,308.61,513.3,59.11,17.16,14.809999999999945
01:50,1548.38,642.65,305.91,510.07,57.8,17.24,14.710000000000264
01:55,1548.74,640.74,303.9,513.21,58.94,17.25,14.700000000000045
02:00,1545.47,632.47,304.88,517.44,58.78,17.21,14.690000000000055
02:05,1519.14,623.47,297.64,506.66,60.0,16.95,14.420000000000073
02:10,1478.36,608.79,283.03,495.7,59.7,17.09,14.049999999999955
02:15,1494.52,609.04,286.44,506.18,61.67,16.99,14.199999999999818
02:20,1490.11,608.44,286.27,501.97,62.24,17.04,14.149999999999864
02:25,1483.44,603.91,287.0,500.94,60.58,16.91,14.100000000000136
02:30,1464.04,596.23,287.83,490.99,58.12,16.96,13.910000000000082
02:35,1461.71,599.89,287.71,485.53,57.81,16.88,13.8900000000001
02:40,1448.86,597.46,285.71,477.71,57.24,16.99,13.749999999999773
02:45,1424.9,586.92,279.47,469.64,58.37,16.96,13.540000000000191
02:50,1433.63,581.17,285.09,478.32,58.64,16.79,13.620000000000118
02:55,1428.77,576.34,284.44,480.22,57.52,16.6,13.650000000000091
03:00,1420.29,576.64,283.35,472.66,57.43,16.73,13.47999999999979
03:05,1420.08,570.97,283.14,476.75,59.1,16.64,13.47999999999979
03:10,1391.11,571.97,271.34,460.99,56.85,16.74,13.220000000000027
03:15,1391.37,594.65,267.98,440.9,57.86,16.76,13.220000000000027
03:20,1415.24,606.27,273.05,449.15,56.57,16.76,13.440000000000282
03:25,1409.35,606.02,269.76,445.37,57.92,16.9,13.379999999999654
03:30,1421.63,615.26,270.3,448.46,57.21,16.89,13.509999999999991
03:35,1427.37,616.66,268.41,453.54,58.27,16.93,13.559999999999945
03:40,1434.55,617.29,271.39,454.73,60.51,17.01,13.620000000000118
03:45,1440.57,619.65,273.08,458.43,58.7,17.02,13.689999999999827
03:50,1448.57,631.91,270.45,455.6,59.82,17.02,13.769999999999982
03:55,1455.13,632.37,272.78,459.05,59.93,17.18,13.819999999999936
04:00,1396.54,611.89,258.6,438.06,57.52,17.21,13.259999999999991
04:05,1477.93,642.76,278.37,466.49,58.9,17.38,14.029999999999973
04:10,1478.23,643.56,277.87,467.98,57.14,17.64,14.039999999999964
04:15,1492.49,650.85,278.22,474.8,56.49,17.96,14.169999999999845
04:20,1517.16,662.02,284.49,480.22,57.94,18.07,14.420000000000073
04:25,1529.17,668.5,285.38,484.05,59.45,17.26,14.529999999999973
04:30,1549.11,681.68,290.99,484.81,58.64,18.27,14.7199999999998
04:35,1576.4,689.12,295.39,495.22,63.12,18.57,14.980000000000246
04:40,1582.39,691.68,296.82,498.48,61.47,18.9,15.039999999999964
04:45,1598.62,699.76,299.75,502.52,62.32,19.08,15.190000000000055
04:50,1624.44,710.13,304.64,511.26,63.12,19.84,15.450000000000273
04:55,1648.75,722.13,311.88,516.99,62.04,20.05,15.660000000000082
05:00,1676.3,738.35,317.57,522.38,61.47,20.6,15.929999999999836
05:05,1729.36,767.11,327.75,534.12,62.33,21.61,16.440000000000055
05:10,1771.42,783.51,338.55,546.92,63.06,22.56,16.820000000000164
05:15,1815.95,806.67,347.15,556.8,64.67,23.4,17.25999999999999
05:20,1866.79,827.96,357.26,571.85,67.44,24.55,17.72999999999979
05:25,1902.57,844.67,362.57,584.99,66.91,25.35,18.079999999999927
05:30,1960.38,868.73,377.76,599.23,69.75,26.28,18.63000000000011
05:35,2016.33,896.36,384.3,618.39,70.12,28.01,19.149999999999864
05:40,2107.48,940.26,404.27,643.69,70.47,28.78,20.009999999999764
05:45,2161.46,968.37,415.03,655.4,72.41,29.71,20.539999999999964
05:50,2246.38,1002.12,432.12,684.44,75.78,30.59,21.329999999999472
05:55,2306.66,1033.67,441.28,701.9,76.28,31.62,21.909999999999854
06:00,2375.47,1060.95,465.82,712.53,80.98,32.63,22.55999999999949
06:05,2482.53,1113.95,482.7,747.16,81.46,33.68,23.580000000000382
06:10,2597.73,1168.85,506.22,778.94,84.45,34.59,24.679999999999836
06:15,2693.38,1207.35,536.49,804.56,84.25,35.15,25.580000000000382
06:20,2784.95,1251.6,555.99,826.39,88.37,36.15,26.449999999999818
