TIMESLOT,Year,Month,Day,Season,DayOfWeek,IsHoliday,Prediction
09:00,2025,1,26,3,6,True,4633.733956402699
09:05,2025,1,26,3,6,True,4711.122578943112
09:10,2025,1,26,3,6,True,4878.054017064114
09:15,2025,1,26,3,6,True,5111.796480593788
09:20,2025,1,26,3,6,True,5151.764094781657
09:25,2025,1,26,3,6,True,5171.215731937583
09:30,2025,1,26,3,6,True,5171.215731937583
09:35,2025,1,26,3,6,True,5175.335447187626
09:40,2025,1,26,3,6,True,5175.335447187626
09:45,2025,1,26,3,6,True,5175.335447187626
09:50,2025,1,26,3,6,True,5175.335447187626
09:55,2025,1,26,3,6,True,5175.335447187626
10:00,2025,1,26,3,6,True,5175.335447187626
10:05,2025,1,26,3,6,True,5175.335447187626
10:10,2025,1,26,3,6,True,5175.335447187626
10:15,2025,1,26,3,6,True,5175.335447187626
10:20,2025,1,26,3,6,True,5175.335447187626
10:25,2025,1,26,3,6,True,5175.335447187626
10:30,2025,1,26,3,6,True,5175.335447187626
10:35,2025,1,26,3,6,True,5175.335447187626
10:40,2025,1,26,3,6,True,5175.335447187626
10:45,2025,1,26,3,6,True,5175.335447187626
10:50,2025,1,26,3,6,True,5175.335447187626
10:55,2025,1,26,3,6,True,5175.335447187626
11:00,2025,1,26,3,6,True,5175.335447187626
11:05,2025,1,26,3,6,True,5175.335447187626
11:10,2025,1,26,3,6,True,5175.335447187626
11:15,2025,1,26,3,6,True,5175.335447187626
11:20,2025,1,26,3,6,True,5175.335447187626
11:25,2025,1,26,3,6,True,5175.335447187626
11:30,2025,1,26,3,6,True,5175.335447187626
11:35,2025,1,26,3,6,True,5175.335447187626
11:40,2025,1,26,3,6,True,5175.335447187626
11:45,2025,1,26,3,6,True,5175.335447187626
11:50,2025,1,26,3,6,True,5175.335447187626
11:55,2025,1,26,3,6,True,5175.335447187626
12:00,2025,1,26,3,6,True,5175.335447187626
12:05,2025,1,26,3,6,True,5175.335447187626
12:10,2025,1,26,3,6,True,5165.9846516824755
12:15,2025,1,26,3,6,True,5136.052132666958
12:20,2025,1,26,3,6,True,5052.443647408155
12:25,2025,1,26,3,6,True,5042.933145625929
12:30,2025,1,26,3,6,True,5022.498528631458
12:35,2025,1,26,3,6,True,4873.008793789077
12:40,2025,1,26,3,6,True,4845.863677842722
12:45,2025,1,26,3,6,True,4823.263992015982
12:50,2025,1,26,3,6,True,4736.145348131003
12:55,2025,1,26,3,6,True,4676.9336566045195
13:00,2025,1,26,3,6,True,4628.208986212997
13:05,2025,1,26,3,6,True,4616.269421771804
13:10,2025,1,26,3,6,True,4611.121506071962
13:15,2025,1,26,3,6,True,4534.328858182619
13:20,2025,1,26,3,6,True,4523.790691846847
13:25,2025,1,26,3,6,True,4110.110247154509
13:30,2025,1,26,3,6,True,3975.8229246281653
13:35,2025,1,26,3,6,True,3927.857653935851
13:40,2025,1,26,3,6,True,3927.857653935851
13:45,2025,1,26,3,6,True,3901.7063659243895
13:50,2025,1,26,3,6,True,3865.76392453266
13:55,2025,1,26,3,6,True,3849.549038689467
14:00,2025,1,26,3,6,True,3849.549038689467
14:05,2025,1,26,3,6,True,3846.3474803914037
14:10,2025,1,26,3,6,True,3836.3642348532703
14:15,2025,1,26,3,6,True,3836.3642348532703
14:20,2025,1,26,3,6,True,3836.3642348532703
14:25,2025,1,26,3,6,True,3836.3642348532703
14:30,2025,1,26,3,6,True,3830.624781138686
14:35,2025,1,26,3,6,True,3830.624781138686
14:40,2025,1,26,3,6,True,3830.624781138686
14:45,2025,1,26,3,6,True,3830.624781138686
14:50,2025,1,26,3,6,True,3830.624781138686
14:55,2025,1,26,3,6,True,3830.624781138686
15:00,2025,1,26,3,6,True,3830.624781138686
15:05,2025,1,26,3,6,True,3830.624781138686
15:10,2025,1,26,3,6,True,3830.624781138686
15:15,2025,1,26,3,6,True,3830.624781138686
15:20,2025,1,26,3,6,True,3830.624781138686
15:25,2025,1,26,3,6,True,3830.624781138686
15:30,2025,1,26,3,6,True,3830.624781138686
15:35,2025,1,26,3,6,True,3830.624781138686
15:40,2025,1,26,3,6,True,3830.624781138686
15:45,2025,1,26,3,6,True,3830.624781138686
15:50,2025,1,26,3,6,True,3830.624781138686
15:55,2025,1,26,3,6,True,3830.624781138686
16:00,2025,1,26,3,6,True,3830.624781138686
16:05,2025,1,26,3,6,True,3830.624781138686
16:10,2025,1,26,3,6,True,3830.624781138686
16:15,2025,1,26,3,6,True,3830.624781138686
16:20,2025,1,26,3,6,True,3830.624781138686
16:25,2025,1,26,3,6,True,3830.624781138686
16:30,2025,1,26,3,6,True,3830.624781138686
16:35,2025,1,26,3,6,True,3830.624781138686
16:40,2025,1,26,3,6,True,3830.624781138686
16:45,2025,1,26,3,6,True,3830.624781138686
16:50,2025,1,26,3,6,True,3830.624781138686
16:55,2025,1,26,3,6,True,3830.624781138686
17:00,2025,1,26,3,6,True,3830.624781138686
17:05,2025,1,26,3,6,True,3830.624781138686
