TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,2474.91,1045.51,551.34,743.92,99.82,14.94,19.379999999999654
00:05,2464.88,1036.42,545.18,744.22,96.49,14.89,27.680000000000746
00:10,2436.04,1033.79,536.78,735.81,93.58,14.76,21.31999999999971
00:15,2431.53,1025.45,536.12,736.94,95.35,14.79,22.88000000000011
00:20,2418.92,1018.65,532.71,737.64,92.25,14.7,22.970000000000255
00:25,2391.9,1004.86,523.75,734.49,92.36,14.75,21.6899999999996
00:30,2397.2,1008.17,524.14,736.91,91.26,14.55,22.169999999999618
00:35,2376.0,996.05,527.41,723.04,92.25,14.5,22.75
00:40,2359.87,980.81,525.97,722.63,96.45,14.49,19.520000000000437
00:45,2348.42,981.84,518.26,724.26,88.85,14.54,20.670000000000528
00:50,2332.66,976.74,514.13,715.34,89.78,14.4,22.269999999999527
00:55,2321.82,980.84,511.28,704.64,88.82,14.3,21.940000000000055
01:00,2312.14,975.7,507.69,704.39,90.94,14.37,19.049999999999727
01:05,2303.43,970.88,506.76,698.46,91.01,14.34,21.979999999999563
01:10,2292.44,966.94,505.46,694.29,89.39,14.43,21.93000000000029
01:15,2281.9,963.22,502.31,691.4,88.81,14.47,21.69000000000051
01:20,2284.35,964.63,500.29,694.79,89.23,14.26,21.149999999999636
01:25,2279.89,959.9,499.07,695.86,89.39,14.35,21.320000000000164
01:30,2271.46,972.05,503.97,698.63,61.06,14.19,21.559999999999945
01:35,2253.17,956.77,496.0,675.63,89.17,14.2,21.40000000000009
01:40,2250.87,947.26,495.21,684.02,88.2,14.27,21.91000000000031
01:45,2250.1,949.38,495.17,683.41,88.02,14.16,19.960000000000036
01:50,2238.27,945.54,490.85,677.48,89.28,14.11,21.009999999999764
01:55,2234.07,941.8,490.55,677.85,88.33,14.21,21.330000000000382
02:00,2231.84,941.13,491.87,675.61,87.82,14.19,21.2199999999998
02:05,2220.8,936.43,487.1,674.4,88.63,14.18,20.0600000000004
02:10,2216.79,939.47,484.61,669.92,89.09,14.2,19.5
02:15,2204.01,929.43,483.4,667.25,86.86,14.14,22.93000000000029
02:20,2200.18,925.8,481.09,665.93,92.43,14.11,20.820000000000164
02:25,2196.16,926.33,480.32,667.27,86.31,14.2,21.730000000000018
02:30,2195.88,925.26,478.48,669.85,85.99,14.13,22.170000000000073
02:35,2189.15,922.31,477.0,665.38,86.23,14.14,24.090000000000146
02:40,2189.71,924.74,478.58,665.79,85.99,14.04,20.57000000000062
02:45,2196.06,926.07,479.53,667.47,87.9,14.05,21.039999999999964
02:50,2177.54,918.5,475.59,661.99,86.58,14.03,20.84999999999991
02:55,2177.98,917.79,475.65,663.81,87.52,14.06,19.15000000000009
03:00,2170.51,914.05,473.82,658.65,89.73,13.98,20.2800000000002
03:05,2177.2,922.32,470.17,663.13,85.78,14.01,21.78999999999951
03:10,2167.58,917.53,470.86,659.41,85.31,14.0,20.470000000000255
03:15,2163.89,915.91,467.58,660.5,85.46,13.89,20.550000000000182
03:20,2156.35,913.18,463.51,658.84,86.35,13.97,20.5
03:25,2151.52,911.77,464.22,655.01,86.18,13.93,20.41000000000031
03:30,2146.48,910.29,462.96,652.66,86.29,13.91,20.370000000000346
