TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other
00:00,2146.06,889.05,410.14,693.99,109.0,23.53,20.349999999999454
00:05,2082.65,873.19,394.71,666.68,105.11,23.15,19.8100000000004
00:10,2095.09,875.98,400.14,672.86,102.77,23.0,20.340000000000146
00:15,2051.33,857.91,383.38,659.5,109.23,22.71,18.59999999999991
00:20,2020.82,840.31,380.62,653.49,105.72,22.67,18.00999999999999
00:25,2008.12,830.4,378.45,657.36,101.05,22.68,18.179999999999836
00:30,1981.95,813.46,368.1,653.7,103.82,22.54,20.330000000000155
00:35,1953.15,799.17,365.66,644.96,102.3,22.32,18.740000000000236
00:40,1943.86,800.32,358.49,636.81,102.35,22.22,23.670000000000073
00:45,1901.62,781.24,352.62,625.79,101.87,21.98,18.11999999999989
00:50,1883.52,773.62,347.0,621.17,101.51,21.9,18.319999999999936
00:55,1867.79,770.89,344.39,613.82,99.46,21.76,17.470000000000027
01:00,1848.59,757.29,341.54,616.79,96.96,21.72,14.289999999999964
01:05,1818.41,749.03,333.85,600.21,96.34,21.67,17.309999999999945
01:10,1796.0,736.59,329.29,594.74,96.75,21.68,16.949999999999818
01:15,1791.47,733.49,327.71,594.51,97.48,21.77,16.50999999999999
01:20,1774.22,727.01,322.01,589.93,96.65,21.75,16.87000000000012
01:25,1761.36,713.15,322.45,588.88,98.55,21.61,16.720000000000027
01:30,1760.32,715.79,320.66,590.25,94.42,21.59,17.6099999999999
01:35,1733.17,710.5,309.97,583.3,91.47,21.46,16.470000000000027
01:40,1727.84,704.08,310.16,580.11,94.67,21.48,17.339999999999918
01:45,1721.01,702.26,307.48,580.07,93.72,21.42,16.059999999999945
01:50,1715.64,697.33,309.65,576.6,94.31,21.47,16.2800000000002
01:55,1697.73,695.23,301.96,568.26,94.75,21.4,16.12999999999988
02:00,1693.79,694.22,299.26,568.87,93.97,21.26,16.210000000000036
02:05,1686.73,688.77,297.6,567.42,94.86,21.42,16.660000000000082
02:10,1680.83,685.52,297.42,566.14,94.16,21.45,16.139999999999873
02:15,1673.93,682.76,295.05,564.7,94.24,21.32,15.860000000000127
02:20,1665.7,681.38,292.2,561.75,93.76,21.27,15.340000000000146
02:25,1664.54,672.97,294.19,565.31,94.74,21.5,15.829999999999927
02:30,1653.23,669.44,289.87,561.56,95.3,21.37,15.690000000000282
