TIMESLOT,DELHI,BRPL,BYPL,NDPL,NDMC,MES,Other,Date,Season,DayOfWeek,IsHoliday
00:00,1905.25,746.42,385.75,628.63,107.36,19.0,18.09,2018-01-17,Winter,Wednesday,False
00:05,1866.52,734.28,365.94,621.43,108.26,18.87,17.74,2018-01-17,Winter,Wednesday,False
00:10,1845.2,724.01,365.3,614.63,104.94,18.8,17.52,2018-01-17,Winter,Wednesday,False
00:15,1830.76,712.44,358.3,615.56,108.35,18.72,17.39,2018-01-17,Winter,Wednesday,False
00:20,1798.16,701.23,353.06,600.59,107.51,18.69,17.08,2018-01-17,Winter,Wednesday,False
00:25,1798.18,704.99,353.0,597.44,107.12,18.54,17.09,2018-01-17,Winter,Wednesday,False
00:30,1777.03,697.7,344.52,596.15,103.32,18.46,16.88,2018-01-17,Winter,Wednesday,False
00:35,1761.28,690.83,345.93,586.41,102.95,18.41,16.75,2018-01-17,Winter,Wednesday,False
00:40,1741.02,683.0,338.19,582.37,102.6,18.31,16.55,2018-01-17,Winter,Wednesday,False
00:45,1723.73,673.5,332.84,579.58,103.12,18.31,16.38,2018-01-17,Winter,Wednesday,False
00:50,1714.45,670.24,331.0,576.93,101.83,18.16,16.29,2018-01-17,Winter,Wednesday,False
00:55,1711.58,664.37,331.4,578.75,102.61,18.18,16.27,2018-01-17,Winter,Wednesday,False
01:00,1693.75,657.46,329.24,571.22,101.48,18.26,16.09,2018-01-17,Winter,Wednesday,False
01:05,1676.69,653.68,325.85,562.29,100.78,18.16,15.93,2018-01-17,Winter,Wednesday,False
01:10,1667.63,646.03,323.85,561.88,101.84,18.18,15.85,2018-01-17,Winter,Wednesday,False
01:15,1654.6,645.07,319.46,555.97,100.17,18.21,15.72,2018-01-17,Winter,Wednesday,False
01:20,1645.16,638.78,315.34,556.21,101.05,18.16,15.62,2018-01-17,Winter,Wednesday,False
01:25,1634.49,635.22,312.74,553.16,99.76,18.08,15.53,2018-01-17,Winter,Wednesday,False
01:30,1628.01,628.68,309.73,556.1,100.03,18.01,15.46,2018-01-17,Winter,Wednesday,False
01:35,1625.57,629.91,310.36,552.08,99.72,18.06,15.44,2018-01-17,Winter,Wednesday,False
01:40,1620.07,627.52,307.46,552.53,99.26,17.9,15.4,2018-01-17,Winter,Wednesday,False
01:45,1616.03,624.64,306.23,552.39,99.4,18.03,15.34,2018-01-17,Winter,Wednesday,False
01:50,1611.85,623.04,304.74,552.16,98.63,17.98,15.3,2018-01-17,Winter,Wednesday,False
01:55,1604.78,617.11,303.17,553.71,97.67,17.88,15.24,2018-01-17,Winter,Wednesday,False
02:00,1603.82,621.57,304.04,546.68,98.47,17.83,15.23,2018-01-17,Winter,Wednesday,False
02:05,1597.56,619.44,303.56,543.84,97.51,18.03,15.18,2018-01-17,Winter,Wednesday,False
02:10,1599.72,619.81,300.9,547.17,98.74,17.9,15.2,2018-01-17,Winter,Wednesday,False
02:15,1596.49,619.65,299.09,547.07,97.59,17.93,15.16,2018-01-17,Winter,Wednesday,False
02:20,1590.58,617.3,297.45,544.91,97.9,17.9,15.12,2018-01-17,Winter,Wednesday,False
02:25,1587.45,616.57,296.52,542.8,98.5,17.98,15.08,2018-01-17,Winter,Wednesday,False
02:30,1583.03,616.25,297.73,537.85,98.26,17.9,15.04,2018-01-17,Winter,Wednesday,False
02:35,1577.74,615.36,293.17,537.89,98.38,17.96,14.98,2018-01-17,Winter,Wednesday,False
02:40,1582.21,614.52,292.99,543.64,98.12,17.9,15.04,2018-01-17,Winter,Wednesday,False
02:45,1566.95,611.28,290.5,534.05,98.3,17.93,14.89,2018-01-17,Winter,Wednesday,False
02:50,1572.14,613.26,291.08,536.07,98.81,17.98,14.94,2018-01-17,Winter,Wednesday,False
02:55,1572.52,615.36,291.05,534.69,98.57,17.9,14.95,2018-01-17,Winter,Wednesday,False
03:00,1558.76,611.32,288.43,528.94,97.46,17.8,14.81,2018-01-17,Winter,Wednesday,False
03:05,1561.17,610.52,289.48,530.56,98.1,17.68,14.83,2018-01-17,Winter,Wednesday,False
03:10,1557.93,609.87,289.08,528.25,98.09,17.85,14.79,2018-01-17,Winter,Wednesday,False
03:15,1558.93,609.51,288.16,529.79,98.76,17.9,14.81,2018-01-17,Winter,Wednesday,False
03:20,1559.33,608.6,287.68,531.83,98.43,17.98,14.81,2018-01-17,Winter,Wednesday,False
03:25,1560.68,611.54,288.0,530.22,98.18,17.9,14.84,2018-01-17,Winter,Wednesday,False
03:30,1562.11,611.52,288.65,530.97,98.11,18.03,14.83,2018-01-17,Winter,Wednesday,False
03:35,1566.26,615.6,288.45,530.66,98.64,18.03,14.88,2018-01-17,Winter,Wednesday,False
03:40,1567.03,616.37,288.56,531.23,97.92,18.06,14.89,2018-01-17,Winter,Wednesday,False
03:45,1572.04,617.41,289.16,534.24,98.1,18.18,14.95,2018-01-17,Winter,Wednesday,False
03:50,1568.48,616.97,288.77,530.86,98.59,18.39,14.9,2018-01-17,Winter,Wednesday,False
03:55,1575.25,619.76,289.03,534.25,98.82,18.41,14.98,2018-01-17,Winter,Wednesday,False
04:00,1583.64,625.53,289.67,537.03,97.85,18.52,15.04,2018-01-17,Winter,Wednesday,False
04:05,1603.61,637.79,291.69,541.01,98.93,18.95,15.24,2018-01-17,Winter,Wednesday,False
04:10,1611.56,638.96,295.38,543.94,98.84,19.13,15.31,2018-01-17,Winter,Wednesday,False
04:15,1623.23,645.46,296.27,547.13,99.57,19.38,15.42,2018-01-17,Winter,Wednesday,False
04:20,1630.39,651.96,297.78,547.09,98.59,19.48,15.49,2018-01-17,Winter,Wednesday,False
04:25,1641.55,655.44,298.81,552.62,99.4,19.69,15.59,2018-01-17,Winter,Wednesday,False
04:30,1660.82,665.17,302.61,558.44,98.82,20.02,15.76,2018-01-17,Winter,Wednesday,False
04:35,1680.99,675.04,309.7,561.12,98.88,20.27,15.98,2018-01-17,Winter,Wednesday,False
04:40,1691.59,680.94,310.85,564.58,98.67,20.48,16.07,2018-01-17,Winter,Wednesday,False
04:45,1708.86,689.43,315.42,567.06,99.82,20.88,16.25,2018-01-17,Winter,Wednesday,False
04:50,1742.72,706.37,321.97,577.58,99.05,21.19,16.56,2018-01-17,Winter,Wednesday,False
04:55,1763.6,711.47,324.16,589.14,100.15,21.93,16.75,2018-01-17,Winter,Wednesday,False
05:00,1798.54,735.62,332.09,585.6,106.0,22.16,17.07,2018-01-17,Winter,Wednesday,False
05:05,1854.38,762.02,344.89,606.46,100.16,23.23,17.62,2018-01-17,Winter,Wednesday,False
05:10,1891.03,784.69,347.71,610.55,106.2,23.91,17.97,2018-01-17,Winter,Wednesday,False
05:15,1918.1,799.03,354.06,621.59,100.59,24.6,18.23,2018-01-17,Winter,Wednesday,False
05:20,1968.76,819.83,367.45,633.85,103.34,25.57,18.72,2018-01-17,Winter,Wednesday,False
05:25,2009.01,832.71,378.85,642.4,109.63,26.33,19.09,2018-01-17,Winter,Wednesday,False
05:30,2054.18,854.03,384.6,656.41,112.64,27.0,19.5,2018-01-17,Winter,Wednesday,False
05:35,2144.14,888.43,405.24,688.28,113.76,28.06,20.37,2018-01-17,Winter,Wednesday,False
05:40,2212.79,926.17,428.81,696.71,112.6,27.48,21.02,2018-01-17,Winter,Wednesday,False
05:45,2302.54,969.64,448.8,715.37,117.01,29.85,21.87,2018-01-17,Winter,Wednesday,False
05:50,2372.25,998.46,459.93,741.6,119.03,30.69,22.54,2018-01-17,Winter,Wednesday,False
05:55,2450.57,1038.73,478.04,760.5,118.59,31.43,23.28,2018-01-17,Winter,Wednesday,False
06:00,2533.46,1082.2,498.68,775.58,120.8,32.14,24.06,2018-01-17,Winter,Wednesday,False
06:05,2643.32,1121.07,523.79,816.22,124.28,32.85,25.11,2018-01-17,Winter,Wednesday,False
06:10,2768.34,1182.61,563.92,833.46,128.37,33.69,26.29,2018-01-17,Winter,Wednesday,False
06:15,2845.83,1221.49,573.84,861.4,127.69,34.38,27.03,2018-01-17,Winter,Wednesday,False
06:20,2946.6,1258.83,604.1,888.42,132.43,34.81,28.01,2018-01-17,Winter,Wednesday,False
06:25,3039.0,1308.45,626.8,907.36,132.3,35.22,28.87,2018-01-17,Winter,Wednesday,False
06:30,3114.1,1351.45,631.39,931.85,134.33,35.5,29.58,2018-01-17,Winter,Wednesday,False
06:35,3178.27,1374.86,653.28,946.65,137.64,35.65,30.19,2018-01-17,Winter,Wednesday,False
06:40,3256.09,1401.75,682.08,964.32,141.12,35.88,30.94,2018-01-17,Winter,Wednesday,False
06:45,3325.07,1452.82,678.08,985.88,140.95,35.76,31.58,2018-01-17,Winter,Wednesday,False
06:50,3360.07,1456.43,704.02,993.86,138.01,35.83,31.92,2018-01-17,Winter,Wednesday,False
06:55,3396.06,1476.41,702.65,1012.69,136.26,35.78,32.27,2018-01-17,Winter,Wednesday,False
07:00,3433.33,1486.96,723.81,1013.23,140.9,35.81,32.62,2018-01-17,Winter,Wednesday,False
07:05,3493.46,1510.44,729.8,1039.84,144.49,35.7,33.19,2018-01-17,Winter,Wednesday,False
07:10,3530.27,1537.61,734.98,1042.75,145.21,36.19,33.53,2018-01-17,Winter,Wednesday,False
07:15,3580.62,1550.33,748.84,1066.72,144.37,36.34,34.02,2018-01-17,Winter,Wednesday,False
07:20,3605.49,1552.24,763.48,1070.15,148.9,36.47,34.25,2018-01-17,Winter,Wednesday,False
07:25,3639.21,1565.69,786.03,1071.04,145.49,36.39,34.57,2018-01-17,Winter,Wednesday,False
07:30,3677.45,1601.39,765.43,1087.97,150.47,37.26,34.93,2018-01-17,Winter,Wednesday,False
07:35,3667.31,1573.5,774.09,1088.45,159.32,37.11,34.84,2018-01-17,Winter,Wednesday,False
07:40,3711.29,1598.42,785.55,1100.41,154.79,36.88,35.24,2018-01-17,Winter,Wednesday,False
07:45,3730.6,1610.3,796.28,1096.02,155.7,36.88,35.42,2018-01-17,Winter,Wednesday,False
07:50,3754.8,1598.63,806.77,1110.35,166.74,36.65,35.66,2018-01-17,Winter,Wednesday,False
07:55,3759.14,1616.43,789.76,1113.11,166.87,37.26,35.71,2018-01-17,Winter,Wednesday,False
08:00,3783.83,1633.44,790.5,1117.68,169.2,37.05,35.96,2018-01-17,Winter,Wednesday,False
08:05,3789.76,1638.21,796.81,1118.63,163.28,36.83,36.0,2018-01-17,Winter,Wednesday,False
08:10,3800.83,1630.42,815.1,1113.63,169.04,36.54,36.1,2018-01-17,Winter,Wednesday,False
08:15,3825.26,1649.95,795.53,1126.22,180.63,36.6,36.33,2018-01-17,Winter,Wednesday,False
08:20,3815.1,1649.35,800.15,1117.34,175.74,36.26,36.26,2018-01-17,Winter,Wednesday,False
08:25,3849.05,1683.81,784.43,1134.29,173.72,36.24,36.56,2018-01-17,Winter,Wednesday,False
08:30,3841.96,1652.68,803.04,1131.38,182.21,36.14,36.51,2018-01-17,Winter,Wednesday,False
08:35,3874.65,1674.51,808.59,1130.33,188.12,36.29,36.81,2018-01-17,Winter,Wednesday,False
08:40,3875.85,1676.88,804.86,1133.88,187.35,36.06,36.82,2018-01-17,Winter,Wednesday,False
08:45,3846.01,1649.34,812.74,1125.18,185.93,36.29,36.53,2018-01-17,Winter,Wednesday,False
